# =============================================================
#   Projeto 1  DGEMM Sequencial e Paralela com OpenMP
# =============================================================
# Autores: João Manoel Fidelis Santos e Maria Eduarda Guedes Alves
# Disciplina: DEC107  Processamento Paralelo
# Resultados no formato CSV
N,Threads,Tempo,GFLOPS,Speedup,Eficiencia
512,1,0.032195,8.338,1.00,100.00
512,2,0.036759,7.303,0.88,43.79
512,4,0.008563,31.348,3.76,93.99
512,8,0.009352,28.704,3.44,43.03
512,0,0.002914,92.118,-,-
1024,1,0.174560,12.302,1.00,100.00
1024,2,0.156903,13.687,1.11,55.63
1024,4,0.086464,24.837,2.02,50.47
1024,8,0.071731,29.938,2.43,30.42
1024,0,0.017477,122.873,-,-
2048,1,3.384552,5.076,1.00,100.00
2048,2,2.579172,6.661,1.31,65.61
2048,4,1.508755,11.387,2.24,56.08
2048,8,0.774031,22.195,4.37,54.66
2048,0,0.074605,230.277,-,-
4096,1,38.108480,3.607,1.00,100.00
4096,2,32.018553,4.292,1.19,59.51
4096,4,13.697170,10.034,2.78,69.56
4096,8,7.613065,18.053,5.01,62.57
4096,0,0.585070,234.910,-,-
